NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
Steve Elkington,87,70.532,280.7,71.84,63.05,0.324,0.505,0.83,"3,965",2,,2007,"$911,875",AUS
Steve Flesch,100,70.958,287.5,63.56,65.83,-0.244,0.252,0.007,"5,314",3,2,2007,"$2,288,899",USA
Steve Lowery,74,71.573,292,63.33,66.29,-0.086,-0.144,-0.23,"1,536",1,,2007,"$502,622",USA
Steve Marino,106,70.954,298.1,60.71,66.07,-0.189,0.363,0.175,"5,017",4,,2007,"$1,179,165",USA
Steve Stricker,81,69.394,283.7,63.73,65.83,0.322,1.164,1.486,"25,126",9,1,2007,"$4,663,077",USA
Steve Wheatcroft,73,72.138,286.1,66.29,64.25,-0.153,-0.726,-0.879,429,,,2007,"$153,246",USA
Stewart Cink,91,70.133,294.7,56.47,66.16,0.412,0.256,0.668,"10,227",6,,2007,"$2,483,146",USA
Stuart Appleby,74,70.477,290.9,60.43,61.57,-0.037,0.376,0.339,"7,189",3,,2007,"$1,803,385",AUS
Tag Ridings,52,71.435,303.9,57.1,62.78,0.605,-0.674,-0.069,416,1,,2007,"$351,590",USA
Ted Purdy,102,71.36,294.1,64.31,67.23,-0.37,0.2,-0.17,"3,056",1,,2007,"$758,734",USA
Tiger Woods,63,67.794,302.4,59.83,71.02,0.712,2.38,3.092,"53,607",12,7,2007,"$10,867,052",USA
Tim Clark,66,69.877,278.1,68.95,61.37,0.695,0.293,0.988,"10,817",6,,2007,"$2,615,152",RSA
Tim Herron,98,70.509,287.3,61.78,64.6,0.092,0.362,0.454,"3,289",1,,2007,"$951,200",USA
Tim Petrovic,106,70.879,286.4,60.22,62.89,0.29,-0.175,0.115,"4,642",1,,2007,"$1,052,447",USA
Todd Hamilton,76,72.933,288.7,57.06,56.94,0.032,-1.585,-1.554,358,,,2007,"$109,776",USA
