NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
Chesson Hadley,101,71.798,290.7,56.87,63.59,0.168,-0.525,-0.357,630,3,,2015,"$1,135,529",USA
Chez Reavie,56,71.146,286.3,71.89,69.64,-0.262,0.342,0.08,268,,,2015,"$331,623",USA
Chris Kirk,76,70.959,285.8,61.97,64.54,0.065,0.35,0.414,"1,291",3,1,2015,"$2,369,326",USA
Chris Stroud,84,71.194,283,64.22,65.67,-0.176,0.178,0.002,531,2,,2015,"$746,814",USA
Colt Knost,90,70.698,276.6,71.24,67.44,0.348,-0.152,0.196,714,4,,2015,"$1,066,553",USA
D.A. Points,72,71.701,280.8,56.37,64.29,-0.054,-0.396,-0.451,244,,,2015,"$390,607",USA
Daniel Berger,97,70.581,302.1,60.74,68.84,-0.193,0.682,0.489,878,6,,2015,"$3,028,901",USA
Daniel Summerhays,101,70.397,284,61.79,65.62,0.644,-0.103,0.541,"1,501",5,,2015,"$1,633,957",USA
Danny Lee,120,70.398,283.1,63.92,65.69,0.374,0.354,0.729,"1,123",8,1,2015,"$3,965,933",NZL
David Hearn,97,70.843,280.6,64.16,67.98,0.358,-0.002,0.356,"1,152",4,,2015,"$1,817,043",CAN
David Lingmerth,90,70.8,289.5,65.51,64.94,0.039,0.366,0.405,"1,387",4,1,2015,"$2,736,378",SWE
David Toms,62,71.092,270,74.5,64.66,-0.102,0.178,0.076,383,2,,2015,"$742,470",USA
Davis Love III,51,71.289,294.7,64.94,67.43,-0.347,-0.031,-0.377,735,2,1,2015,"$1,263,596",USA
Derek Ernst,75,71.453,295.1,64.3,66.51,-0.516,-0.015,-0.531,250,,,2015,"$320,095",USA
Derek Fathauer,81,71.431,288.8,51.63,61.33,0.301,-0.474,-0.173,263,1,,2015,"$482,023",USA
Dustin Johnson,75,69.585,317.7,55.53,67.05,0.128,1.326,1.455,"1,360",11,1,2015,"$5,509,467",USA
Eric Axley,57,71.977,286.4,55.54,61.21,0.15,-1.101,-0.952,152,,,2015,"$170,687",USA
Erik Compton,86,71.228,288.4,59.31,63.18,0.469,-0.385,0.084,471,1,,2015,"$676,602",USA
Ernie Els,57,71.83,291.7,56.79,64.52,-0.609,0.009,-0.6,233,,,2015,"$453,579",RSA
Fabián Gómez,83,71.207,283.2,60.88,63.52,0.062,-0.386,-0.324,"1,069",2,1,2015,"$1,651,012",ARG
Francesco Molinari,56,70.458,281.6,76.88,71.07,-0.255,0.859,0.604,558,2,,2015,"$997,389",ITA
Gary Woodland,81,70.982,305.5,56.21,66.74,0.077,0.121,0.198,"1,300",4,,2015,"$2,605,083",USA
Geoff Ogilvy,50,71.559,293.7,59.59,66.55,-0.692,0.26,-0.432,350,1,,2015,"$653,925",AUS
George McNeill,93,70.478,286.2,64.1,66.43,0.212,0.351,0.563,"1,086",1,,2015,"$1,331,768",USA
Gonzalo Fernandez-Castaño,81,71.5,289.3,60.97,63.92,-0.522,-0.125,-0.646,272,,,2015,"$312,053",ESP
Graham DeLaet,65,70.72,298.7,65.46,69.15,-0.012,0.299,0.287,545,3,,2015,"$988,349",CAN
Greg Chalmers,58,71.363,281.5,62.17,63.79,0.529,-1.133,-0.605,242,,,2015,"$291,016",AUS
Greg Owen,58,71.512,293.8,59.63,69.25,-0.798,0.572,-0.226,608,2,,2015,"$1,180,794",ENG
Harris English,105,70.235,298.4,58.51,67.05,0.56,0.217,0.777,360,3,,2015,"$1,971,687",USA
Heath Slocum,57,72.362,275.8,69.51,62.79,-0.594,-0.97,-1.564,62,,,2015,"$122,480",USA
Henrik Stenson,63,69.354,296.4,69.91,73.52,0.436,1.774,2.21,"2,307",8,,2015,"$4,755,070",SWE
Hideki Matsuyama,95,69.94,294.5,65.25,69.2,0.076,1.388,1.464,558,9,,2015,"$3,758,619",JPN
Hudson Swafford,97,70.732,298.9,63.34,68.54,0.36,-0.022,0.338,776,1,,2015,"$959,391",USA
Hunter Mahan,88,71.124,295.1,58.91,65.79,0.39,-0.27,0.12,"1,208",4,,2015,"$1,617,973",USA
Ian Poulter,68,70.421,286.7,63.58,65.71,0.225,0.329,0.554,981,4,,2015,"$1,690,587",ENG
J.B. Holmes,89,70.581,309.9,54.05,63.66,-0.004,0.949,0.944,618,7,1,2015,"$4,037,430",USA
J.J. Henry,94,71.334,292.3,60.29,69.88,-0.414,0.105,-0.308,716,1,1,2015,"$1,046,123",USA
James Hahn,94,70.896,295.1,59.89,66.13,0.048,0.307,0.355,"1,202",2,1,2015,"$2,064,783",USA
Jamie Donaldson,50,71.102,294.9,60.09,63.83,0.349,-0.008,0.341,447,2,,2015,"$938,664",WAL
Jason Bohn,95,70.235,277.1,71.58,68.89,0.239,0.538,0.777,"1,373",6,,2015,"$2,337,580",USA
Jason Day,75,69.161,313.7,55.94,70.83,0.586,1.52,2.106,"2,290",11,5,2015,"$9,403,330",AUS
Jason Dufner,76,70.633,286.7,67.81,69.03,-0.7,0.922,0.222,730,2,,2015,"$1,007,997",USA
Jason Gore,76,71.273,290.4,66.67,67.52,-0.067,0.157,0.089,712,2,,2015,"$1,101,246",USA
Jason Kokrak,88,70.654,305.6,56.41,67.3,-0.012,0.306,0.293,614,2,,2015,"$1,033,489",USA
Jeff Overton,94,70.836,284.8,58.87,65.7,0.105,-0.014,0.091,464,1,,2015,"$561,614",USA
Jerry Kelly,79,70.383,277.2,70.45,65.96,0.25,0.186,0.436,966,4,,2015,"$1,336,607",USA
Jhonattan Vegas,90,71.326,299.9,56.01,65.44,0.086,-0.353,-0.267,353,,,2015,"$446,345",VEN
Jim Furyk,71,69.845,281.9,69.08,69.79,-0.024,1.658,1.634,304,7,1,2015,"$3,732,664",USA
Jim Herman,88,70.719,293.8,67.1,73.23,-0.03,0.407,0.376,840,2,,2015,"$1,212,778",USA
Jim Renner,68,72.431,283.3,57.44,65.24,-0.995,-0.454,-1.449,63,,,2015,"$90,668",USA
Jimmy Walker,89,70.268,301.6,52.23,66.09,0.692,0.241,0.933,558,6,2,2015,"$4,521,350",USA
John Huh,102,71.037,279.8,69.44,64.85,0.279,-0.191,0.088,565,,,2015,"$678,556",USA
John Merrick,78,71.334,285,68.32,67.64,-0.775,0.42,-0.356,311,,,2015,"$391,513",USA
John Peterson,84,70.735,288.1,67.52,68.32,-0.184,0.435,0.251,588,,,2015,"$779,509",USA
John Senden,80,71.09,290.2,66.6,67.26,-0.061,0.142,0.082,848,3,,2015,"$1,422,033",AUS
Johnson Wagner,68,70.807,290.7,62.11,68.95,0.203,-0.108,0.095,733,3,,2015,"$1,131,659",USA
Jon Curran,83,70.849,273.5,67.46,66.39,-0.028,-0.059,-0.088,540,5,,2015,"$1,049,549",USA
Jonas Blixt,78,71.238,287.6,60.26,62.71,0.122,-0.562,-0.44,471,1,,2015,"$703,664",SWE
Jonathan Byrd,69,70.83,287.5,65.6,67.35,0.084,0.148,0.232,335,,,2015,"$446,732",USA
Jonathan Randolph,72,71.606,287.2,55.19,64.37,0.132,-0.85,-0.718,209,,,2015,"$256,066",USA
Jordan Spieth,91,68.938,291.8,62.91,67.87,0.571,1.583,2.154,"3,800",15,5,2015,"$12,030,465",USA
Justin Leonard,61,71.517,271.6,71.7,62.57,0.231,-0.544,-0.313,188,,,2015,"$219,175",USA
Justin Rose,69,69.744,303.5,63.87,70.54,0.023,1.471,1.493,"1,235",8,1,2015,"$5,462,677",ENG
Justin Thomas,106,70.105,303.2,58.24,68.92,0.042,0.926,0.968,"1,498",7,,2015,"$2,278,564",USA
K.J. Choi,66,71.372,276.5,64.09,63.8,0.415,-0.159,0.256,358,,,2015,"$448,864",KOR
Keegan Bradley,87,70.45,306.1,64.85,67.53,-0.07,1.088,1.018,"1,103",3,,2015,"$1,565,079",USA
Ken Duke,93,71.306,278.1,67.91,64.17,-0.222,-0.156,-0.378,523,3,,2015,"$817,675",USA
Kevin Chappell,86,70.672,293.5,63.86,66.02,0.168,0.202,0.37,"1,186",2,,2015,"$1,281,552",USA
Kevin Kisner,104,70.344,287.8,66.85,66.24,0.24,0.389,0.628,444,6,,2015,"$3,567,939",USA
Kevin Na,98,70.121,280.1,62.51,64.56,0.233,0.711,0.944,410,7,,2015,"$2,820,766",USA
Kevin Streelman,95,71.282,289.5,68.63,68.99,-0.219,0.352,0.133,840,2,,2015,"$1,525,774",USA
Kyle Reifers,96,70.854,288,61.59,67.03,0.036,0.101,0.136,804,2,,2015,"$1,179,228",USA
Lee Westwood,56,70.484,300,59.7,66.45,0.595,0.283,0.879,576,1,,2015,"$946,628",ENG
Louis Oosthuizen,68,70.16,298.8,59.84,68.28,-0.22,0.825,0.605,176,6,,2015,"$3,251,174",RSA
Lucas Glover,79,71.291,296.9,63.82,70.46,-1.351,1.17,-0.181,375,,,2015,"$515,241",USA
Luke Donald,71,70.555,277,59.28,65.57,0.289,0.295,0.584,782,2,,2015,"$1,026,643",ENG
Luke Guthrie,84,71.211,283.9,58.86,63.75,0.11,-0.147,-0.037,373,1,,2015,"$575,150",USA
Marc Leishman,74,70.569,294.8,54.99,65.62,-0.02,0.322,0.302,854,4,,2015,"$1,762,267",AUS
Mark Hubbard,79,71.227,278.5,66.32,66.81,-0.102,-0.281,-0.383,274,,,2015,"$293,980",USA
Mark Wilson,89,70.991,279.2,64.53,67.84,-0.065,0.092,0.026,681,3,,2015,"$851,845",USA
Martin Flores,95,70.919,296.8,56.83,68.32,-0.216,0.255,0.038,345,,,2015,"$449,274",USA
Martin Laird,77,70.772,300.5,58.54,66.31,0.1,0.206,0.306,628,3,,2015,"$1,124,988",SCO
Matt Every,73,72.419,286.6,51.52,58.1,0.075,-1.043,-0.968,727,1,1,2015,"$1,521,816",USA
Matt Jones,89,70.812,296,59.7,64.05,0.401,0.263,0.664,"1,445",4,,2015,"$1,995,553",AUS
Matt Kuchar,97,70.04,288.5,63.23,66.55,0.316,0.817,1.133,530,7,,2015,"$2,774,170",USA
Max Homa,78,71.763,294.2,56.45,62.99,-0.11,-0.619,-0.729,278,1,,2015,"$380,339",USA
Michael Putnam,87,71.156,288.8,61.47,70.13,-0.526,0.373,-0.153,407,,,2015,"$557,803",USA
Michael Thompson,83,71.23,289.3,58.24,65.43,0.153,-0.349,-0.195,378,1,,2015,"$599,835",USA
Morgan Hoffmann,85,70.988,296.1,54.83,61.11,0.232,-0.035,0.196,749,2,,2015,"$1,111,240",USA
Nicholas Thompson,90,71.396,286,68.7,68.6,-0.493,-0.219,-0.712,442,1,,2015,"$667,185",USA
Nick Taylor,91,71.716,292.3,56.05,64.41,0.112,-0.489,-0.377,613,1,1,2015,"$1,072,360",CAN
Nick Watney,91,70.68,294,61.08,67.34,-0.403,0.661,0.258,"1,135",3,,2015,"$1,733,873",USA
Oscar Fraustro,58,72.08,289.5,61.78,63.17,-0.283,-1.034,-1.316,171,1,,2015,"$262,475",MEX
Padraig Harrington,60,71.95,290.5,51.72,61.02,-0.493,-0.263,-0.756,610,1,1,2015,"$1,330,852",IRL
Pat Perez,96,70.666,284.6,65.7,67.88,0.364,0.222,0.586,"1,287",2,,2015,"$1,588,664",USA
Patrick Reed,103,70.292,292.9,54.78,64.42,0.394,0.465,0.859,656,4,1,2015,"$3,590,566",USA
Paul Casey,87,69.806,297.8,64.16,72.36,0.014,1.202,1.216,632,8,,2015,"$3,488,311",ENG
Phil Mickelson,70,70.585,300.5,55.98,61.51,0.262,0.319,0.581,"1,091",3,,2015,"$2,154,200",USA
Retief Goosen,81,71.667,292.6,56.57,62.19,0.027,-0.365,-0.338,519,3,,2015,"$921,830",RSA
Rickie Fowler,76,70.23,296.8,62.08,65.81,0.309,0.779,1.088,"1,838",7,2,2015,"$5,773,430",USA
Ricky Barnes,82,71.647,283.3,54.1,60.47,0.159,-0.555,-0.396,347,1,,2015,"$614,455",USA
Robert Allenby,63,72.102,282.7,63.06,66.67,-0.754,-0.215,-0.97,169,1,,2015,"$271,887",AUS
Robert Garrigus,70,71.774,301.7,56.72,63.97,-0.697,-0.189,-0.887,226,,,2015,"$253,699",USA
Robert Streb,110,70.13,297.1,59.47,69.14,0.381,0.712,1.093,542,9,1,2015,"$3,947,424",USA
Roberto Castro,54,71.334,279.8,65.76,66.11,-0.732,0.612,-0.12,167,,,2015,"$179,723",USA
Roger Sloan,56,72.533,293.6,59.45,63.14,-0.502,-1.103,-1.605,103,,,2015,"$133,048",CAN
Rory Sabbatini,81,70.435,290,60.3,67.83,-0.106,0.567,0.461,"1,064",4,,2015,"$1,525,784",RSA
Russell Henley,87,70.581,297.1,64.39,67.06,0.579,-0.116,0.462,"1,072",4,,2015,"$2,110,774",USA
Russell Knox,96,70.421,284.4,67.76,70.83,-0.021,0.827,0.806,"1,435",3,,2015,"$1,916,666",SCO
Ryan Moore,81,70.829,282.6,70.05,65.24,0.16,0.418,0.578,"1,374",4,1,2015,"$2,642,306",USA
Ryan Palmer,80,70.102,305.2,56.57,66.81,0.147,0.813,0.96,"1,386",5,,2015,"$1,974,523",USA
Ryo Ishikawa,90,71.246,289.2,56.39,66.41,-0.103,0.052,-0.051,476,2,,2015,"$851,044",JPN
Sam Saunders,83,71.668,293.2,64,65.23,-0.136,-0.36,-0.496,413,1,,2015,"$578,571",USA
Sangmoon Bae,98,71.036,289.8,60.03,62.93,0.26,-0.201,0.059,390,5,1,2015,"$2,599,632",KOR
Scott Brown,97,70.797,288.2,62.77,65.18,-0.031,0.216,0.185,696,3,,2015,"$1,161,750",USA
Scott Langley,94,71.032,280.5,61.9,64.67,0.018,0.108,0.126,448,,,2015,"$638,182",USA
Scott Piercy,90,70.688,296.7,59.3,66.73,0.006,0.322,0.329,432,5,1,2015,"$2,780,027",USA
Scott Pinckney,88,71.103,290.3,60.95,67.61,0.294,-0.426,-0.131,761,3,,2015,"$1,259,389",USA
Scott Stallings,60,71.961,291.8,57.74,65,-0.392,-0.166,-0.558,447,1,,2015,"$919,619",USA
Sean O'Hair,86,71.03,295.3,60.74,64.34,0.169,0.012,0.18,"1,293",3,,2015,"$1,662,300",USA
Sergio Garcia,59,69.958,300,59.47,67.56,-0.022,1.067,1.045,"1,177",4,,2015,"$2,670,229",ESP
Seung-Yul Noh,65,71.465,292.7,54.87,65.9,0.066,-0.22,-0.154,432,1,,2015,"$711,609",KOR
Shawn Stefani,94,70.421,296.3,62.06,68.79,0.074,0.423,0.497,"1,171",3,,2015,"$1,757,803",USA
Spencer Levin,99,70.837,283.7,69.09,68.27,-0.065,0.135,0.07,764,1,,2015,"$836,698",USA
Steve Wheatcroft,87,71.072,288.3,63.03,64.59,0.345,-0.383,-0.038,536,2,,2015,"$973,024",USA
Steven Alker,62,71.094,278.3,71.41,66.57,-0.146,0.163,0.017,216,,,2015,"$236,862",NZL
Steven Bowditch,103,70.835,302.1,54.04,63.43,0.144,0.256,0.4,454,2,1,2015,"$3,075,410",AUS
Stewart Cink,77,70.774,293.6,57.35,72.94,0.102,0.367,0.468,612,1,,2015,"$694,655",USA
Sung Joon Park,79,71.469,283.7,65.73,64.72,-0.421,-0.167,-0.588,426,1,,2015,"$597,103",KOR
Tim Wilkinson,73,71.944,279.1,63.09,62.44,-0.278,-0.569,-0.847,183,,,2015,"$171,654",NZL
Tom Hoge,83,70.812,292.2,58.84,66.03,0.005,0.41,0.415,441,2,,2015,"$690,319",USA
Tony Finau,106,70.281,309,54.3,67.61,-0.006,0.634,0.628,"1,293",5,,2015,"$2,095,186",USA
Troy Merritt,91,71.458,285.2,62.83,63.37,0.384,-0.579,-0.195,"1,148",3,1,2015,"$2,092,669",USA
Tyrone Van Aswegen,58,71.684,285.6,53.39,66.77,-0.152,-0.428,-0.58,142,,,2015,"$168,234",RSA
Vijay Singh,78,70.761,290.6,60.06,66.24,-0.511,0.812,0.302,508,1,,2015,"$752,462",FIJ
Webb Simpson,81,70.31,289.4,67.85,67.81,-0.646,1.346,0.7,"1,213",5,,2015,"$2,046,260",USA
Whee Kim,71,71.097,282.4,60.4,68.2,-0.093,0.081,-0.013,393,2,,2015,"$755,998",KOR
William McGirt,103,70.647,280.4,67.87,67.85,0.06,0.395,0.455,955,1,,2015,"$1,004,696",USA
Willy Wilcox,58,69.804,296.6,68.98,72.53,0.322,0.863,1.186,649,4,,2015,"$1,168,302",USA
Zac Blair,108,70.714,273.1,67.91,65.54,0.527,-0.356,0.171,"1,126",2,,2015,"$1,244,676",USA
Zach Johnson,90,69.753,282.6,71.21,68.58,0.04,1.081,1.12,"1,450",10,1,2015,"$4,801,487",USA
�?ngel Cabrera,53,71.734,299.7,55.9,64.88,-0.572,-0.032,-0.604,208,,,2015,"$381,942",ARG
Aaron Baddeley,93,70.888,291.7,55.42,63.11,0.581,-0.347,0.234,922,5,1,2016,"$1,644,915",AUS
Abraham Ancer,51,72.137,276.4,65.42,61.81,-0.421,-0.307,-0.727,147,,,2016,"$162,811",MEX
Adam Hadwin,93,70.719,290.1,63.62,66.07,0.529,-0.003,0.526,748,2,,2016,"$1,067,809",CAN
Adam Scott,79,69.47,304.6,55.55,70.76,-0.168,2.062,1.894,"1,930",9,2,2016,"$6,473,090",AUS
Alex Cejka,71,70.675,281.5,65.89,67.99,0.011,0.631,0.642,754,4,,2016,"$1,566,308",GER
Andres Gonzales,80,71.681,294.7,54.55,66.17,0.008,-0.469,-0.462,307,1,,2016,"$579,667",USA
Andrew Landry,53,71.143,294.7,65.55,64.63,0.654,-0.694,-0.04,217,1,,2016,"$373,980",USA
Andrew Loupe,75,71.423,309.3,45.56,63.41,0.301,-0.416,-0.115,535,4,,2016,"$1,075,276",USA
Anirban Lahiri,72,71.139,291.7,56.31,62.88,-0.02,0.088,0.068,494,1,,2016,"$835,171",IND
Ben Crane,80,70.908,280.3,63.18,63.6,0.216,0.037,0.253,500,1,,2016,"$607,892",USA
Ben Martin,92,71.282,288.8,62.14,66.73,0.14,-0.117,0.023,901,2,,2016,"$1,205,730",USA
Bill Haas,86,70.444,289.6,62.34,67.14,-0.174,0.693,0.519,"1,285",6,,2016,"$2,390,199",USA
Billy Horschel,73,70.548,293,60.71,67.7,0.076,0.733,0.81,"1,199",5,,2016,"$1,744,571",USA
Billy Hurley III,66,70.846,277.7,65.36,62.71,0.433,-0.084,0.348,"1,121",2,1,2016,"$1,770,400",USA
Blayne Barber,84,71.032,289.6,62.37,66.74,0.01,0.088,0.099,628,1,,2016,"$768,585",USA
Boo Weekley,83,71,291.5,66.98,67.87,-0.225,0.307,0.082,532,2,,2016,"$991,660",USA
Branden Grace,63,70.204,295.6,55.14,66.76,-0.105,0.96,0.855,"1,443",6,1,2016,"$2,878,868",RSA
Brandt Snedeker,93,70.203,292.6,58.69,65.67,0.343,0.518,0.86,592,7,1,2016,"$3,960,142",USA
Brendan Steele,88,70.855,302.2,60.29,68.72,-0.257,0.532,0.275,"1,001",2,,2016,"$1,589,266",USA
Brendon Todd,66,72.728,280.1,58.02,54.23,0.462,-2.055,-1.593,60,,,2016,"$75,772",USA
Brendon de Jonge,83,71.603,287.5,59.19,65.64,0.156,-0.489,-0.332,304,,,2016,"$415,583",ZIM
Brett Stegmaier,87,70.995,295.3,60.93,66.8,-0.06,0.108,0.048,559,3,,2016,"$1,086,714",USA
Brian Harman,104,70.996,289.7,63.41,64.85,0.485,-0.225,0.26,"1,187",2,,2016,"$1,299,801",USA
Brian Stuard,66,71.242,277.7,71.07,63.3,-0.022,-0.07,-0.093,"1,040",1,1,2016,"$1,666,014",USA
Bronson Burgoon,83,71.132,293.1,57.3,66.24,0.015,-0.217,-0.202,428,,,2016,"$557,020",USA
Brooks Koepka,75,69.956,302.6,58.6,66.98,0.445,0.648,1.092,"1,541",7,,2016,"$3,322,393",USA
Bryce Molder,80,70.901,280.2,62.53,61.32,0.553,-0.013,0.54,718,5,,2016,"$1,353,385",USA
Bubba Watson,72,70.333,310.6,55.11,69.16,-0.367,1.359,0.992,478,4,1,2016,"$3,492,842",USA
Cameron Smith,73,71.759,286.3,59.21,62.72,-0.057,-0.706,-0.763,304,,,2016,"$477,843",AUS
Cameron Tringale,81,71.256,285.1,59.57,65.66,0.057,-0.081,-0.024,539,1,,2016,"$1,064,066",USA
Camilo Villegas,83,71.44,287,52.18,62.1,0.203,-0.572,-0.369,313,,,2016,"$450,056",COL
Carlos Ortiz,79,71.906,298.9,52.77,64.44,-0.223,-0.477,-0.701,238,,,2016,"$263,466",MEX
Chad Campbell,90,70.566,287.9,64.39,68.15,-0.256,0.821,0.565,829,3,,2016,"$1,168,073",USA
Chad Collins,73,71.532,279.3,57.41,62.4,-0.004,-0.448,-0.452,402,1,,2016,"$734,548",USA
Charl Schwartzel,73,70.004,296.7,56.86,68.73,-0.137,1.18,1.043,430,5,1,2016,"$2,936,027",RSA
Charles Howell III,91,70.418,303.4,52.6,68.01,0.133,0.54,0.673,"1,191",5,,2016,"$1,974,962",USA
Charley Hoffman,91,70.658,298.2,54.8,64.58,-0.036,0.598,0.562,"1,383",1,1,2016,"$2,350,239",USA
Chesson Hadley,81,71.541,296.5,56.58,65.26,-0.165,-0.047,-0.213,293,,,2016,"$503,993",USA
Chez Reavie,90,70.661,287.3,68.22,68.09,-0.262,0.761,0.5,772,2,,2016,"$1,086,964",USA
Chris Kirk,90,70.92,285.9,62.02,64.05,-0.006,0.66,0.653,"1,167",3,,2016,"$1,762,335",USA
Chris Stroud,82,71.101,286.3,60.7,66.6,0.15,-0.029,0.121,412,1,,2016,"$599,176",USA
Colt Knost,90,70.785,269.7,73.36,65.25,0.384,-0.06,0.324,803,3,,2016,"$1,594,587",USA
D.A. Points,55,71.655,282.3,59.47,65.36,-0.596,0.19,-0.406,167,,,2016,"$305,250",USA
D.H. Lee,61,73.415,280.4,60.85,60.14,0.042,-1.821,-1.778,104,,,2016,"$174,683",KOR
Daniel Berger,92,70.339,298.4,56.68,67.67,0.175,0.718,0.893,422,6,1,2016,"$3,290,764",USA
Daniel Summerhays,99,70.771,288,58.65,63.02,0.592,-0.356,0.236,975,2,,2016,"$2,045,968",USA
Danny Lee,93,71.118,286.6,64.05,63.95,-0.207,0.51,0.302,699,2,,2016,"$1,405,722",NZL
David Hearn,95,70.87,281.2,65.94,68.25,0.214,0.311,0.525,"1,084",2,,2016,"$1,211,514",CAN
David Lingmerth,84,71.05,284.8,67.36,63.99,0.055,0.206,0.261,925,2,,2016,"$1,863,783",SWE
David Toms,62,70.872,269.7,67.98,65.5,0.132,0.248,0.38,455,1,,2016,"$774,522",USA
Dawie van der Walt,72,71.376,290.2,56.89,66.75,-0.061,-0.213,-0.274,239,,,2016,"$301,697",RSA
Derek Ernst,59,72.075,294.6,60.1,66.18,-0.556,-0.127,-0.683,159,,,2016,"$190,736",USA
Derek Fathauer,94,71.073,288.2,52.02,62,0.353,-0.752,-0.399,633,1,,2016,"$898,430",USA
Dicky Pride,55,72.102,278.9,65.86,60.9,0.144,-0.974,-0.83,84,,,2016,"$101,456",USA
Dustin Johnson,87,69.172,313.6,57.17,67.82,0.328,1.664,1.993,"2,380",15,3,2016,"$9,365,185",USA
Emiliano Grillo,93,70.637,294.3,66.93,68.52,-0.056,0.534,0.479,902,3,1,2016,"$3,371,705",ARG
Erik Compton,65,71.884,284.7,53.64,58.64,-0.019,-0.679,-0.698,236,,,2016,"$247,903",USA
Ernie Els,66,71.371,292.8,52.93,61.2,0.405,-0.428,-0.024,273,1,,2016,"$559,024",RSA
Fabián Gómez,82,71.346,289,61.44,63.71,0.213,-0.249,-0.037,"1,450",4,1,2016,"$2,227,040",ARG
Francesco Molinari,64,70.436,286.7,63.76,64.93,-0.296,0.859,0.562,550,3,,2016,"$1,083,155",ITA
Freddie Jacobson,86,70.809,280.3,59.03,64.86,0.478,-0.432,0.047,714,3,,2016,"$1,354,196",SWE
Gary Woodland,95,70.234,306.1,56.69,68.74,-0.13,1.097,0.968,510,4,,2016,"$2,392,044",USA
Geoff Ogilvy,63,71.464,291.9,61.24,63.65,-0.437,0.249,-0.187,283,1,,2016,"$397,595",AUS
George McNeill,51,71.848,284.5,60.99,64.16,-0.485,-0.306,-0.791,134,,,2016,"$213,895",USA
Graeme McDowell,63,70.899,281.4,67.7,64.44,-0.208,0.03,-0.178,"1,250",5,1,2016,"$2,596,170",NIR
Graham DeLaet,70,71.074,297.9,60.11,68.35,-0.211,0.283,0.072,490,3,,2016,"$908,557",CAN
Greg Owen,85,71.677,297.7,59.22,69.75,-0.947,0.532,-0.415,319,1,,2016,"$484,955",ENG
Harold Varner III,92,71.045,302,59.33,66.24,-0.377,0.478,0.101,819,4,,2016,"$1,327,320",USA
Harris English,97,70.463,299.2,55.01,64.83,0.592,-0.017,0.574,"1,270",3,,2016,"$2,014,283",USA
Henrik Norlander,71,71.157,288.1,63.39,68.24,0.018,0.049,0.066,273,,,2016,"$290,889",SWE
Hideki Matsuyama,76,70.034,294.5,62.04,68.11,-0.025,1.315,1.29,728,8,1,2016,"$4,193,954",JPN
Hiroshi Iwata,85,71.693,288.8,58.34,59.5,0.154,-0.775,-0.621,339,1,,2016,"$634,862",JPN
Hudson Swafford,104,70.875,306.9,61.43,68.8,0.203,0.1,0.302,981,1,,2016,"$1,027,314",USA
Hunter Mahan,61,72.105,294.8,57.13,62.75,0.291,-1.063,-0.773,174,,,2016,"$230,694",USA
J.B. Holmes,77,70.523,314.5,51.68,65.17,-0.153,0.634,0.481,360,6,,2016,"$2,969,608",USA
J.J. Henry,68,72.019,287.3,59.33,67.51,-0.237,-0.475,-0.711,162,,,2016,"$280,674",USA
James Hahn,85,71.245,290.9,60.71,64.58,-0.245,0.001,-0.244,"1,452",3,1,2016,"$2,367,521",USA
Jamie Lovemark,91,70.896,304.8,57.32,65.32,0.142,0.321,0.463,"1,232",5,,2016,"$1,940,890",USA
Jason Bohn,67,71.126,276.3,67.56,66.33,0.032,-0.252,-0.22,670,3,,2016,"$1,369,705",USA
Jason Day,76,69.313,304.2,50.46,67.23,1.13,0.987,2.118,"1,440",10,3,2016,"$8,045,112",AUS
Jason Dufner,105,70.212,293.2,62.83,70.15,-0.353,0.84,0.488,522,6,1,2016,"$2,879,884",USA
Jason Gore,78,71.627,289.2,63.63,66.52,-0.079,-0.453,-0.532,307,,,2016,"$416,654",USA
Jason Kokrak,89,70.57,307.4,58.41,68.66,-0.27,0.83,0.56,"1,554",4,,2016,"$1,934,250",USA
Jeff Overton,69,71.466,285,59.25,63.85,-0.416,-0.076,-0.492,289,1,,2016,"$410,246",USA
Jerry Kelly,76,70.937,278.2,71.2,66.67,-0.214,0.381,0.167,834,2,,2016,"$1,328,657",USA
Jhonattan Vegas,97,70.903,304.4,56.57,69.71,0.098,0.505,0.604,362,5,1,2016,"$2,478,980",VEN
Jim Furyk,52,70.13,280.8,69.09,68.27,0.067,0.463,0.53,745,3,,2016,"$1,538,204",USA
Jim Herman,93,71.206,291.1,65.59,65.65,-0.278,0.098,-0.18,"1,415",2,1,2016,"$2,091,274",USA
Jimmy Walker,85,70.393,301.3,48.31,63.96,0.243,0.649,0.892,652,5,1,2016,"$4,148,546",USA
John Huh,86,71.104,284.7,68.3,66.21,-0.209,0.158,-0.05,690,3,,2016,"$1,007,219",USA
John Senden,88,70.717,289.7,60.07,68.86,0.329,0.18,0.51,719,1,,2016,"$989,841",AUS
Johnson Wagner,86,70.781,289.4,61.13,69.38,0.273,0.095,0.368,808,3,,2016,"$1,083,787",USA
Jon Curran,99,71.145,271.9,64.35,63.02,0.407,-0.354,0.053,950,3,,2016,"$1,902,481",USA
Jonas Blixt,79,71.19,290.3,57.79,60.96,0.52,-0.621,-0.101,576,2,,2016,"$1,115,322",SWE
Jordan Spieth,80,69.52,295.4,58.14,63.52,0.758,0.811,1.569,"1,168",8,2,2016,"$5,538,470",USA
